Address,BorrowerId,ContactNumber,CreditScore,DateOfBirth,Email,EmploymentStatus,FirstName,LastName,SocialSecurityNumber
"7087 Lori Mews Apt. 737, Warnerchester, LA 40857",1,261.754.0781x90494,391,2023-05-11,cheryl54@example.com,Unemployed,Mary,Schneider,644-913-5070
"209 Daniel Trail Suite 589, Brownton, LA 13822",2,001-559-693-0097x67018,490,2015-12-07,bakergilbert@example.org,Retired,Tanya,Hall,7325542704
"02181 Calderon Orchard Apt. 032, Samanthashire, NV 04472",3,582-605-9247x37982,817,1986-07-29,josephsmith@example.org,Unemployed,Thomas,Kent,+1-957-442-1613x197
"04590 Mark Field Apt. 747, Port Tyler, RI 76226",4,(306)772-4481x15112,364,1977-04-06,sharon01@example.org,Self-Employed,Matthew,Boyd,3599995040
"8561 Courtney Centers, West Charles, DE 54586",5,260-585-7473,408,2003-08-11,fanderson@example.net,Self-Employed,Nicholas,Walker,317.648.7376x35821
"4657 Jerry Falls Apt. 269, North Robert, OH 29514",6,(769)470-7773,370,2016-08-18,edwardsheidi@example.net,Self-Employed,Jeff,Jackson,(973)252-4904x6360
"45524 Bailey Mills Apt. 175, Proctorville, MA 21105",7,(380)323-4381x10358,334,1992-12-10,randywoods@example.com,Unemployed,Thomas,Morris,755-323-8773x792
"151 Samantha Prairie, Lake Jesseburgh, LA 51680",8,341.348.3988,454,2020-11-27,hallkathy@example.org,Retired,Sarah,Johnson,+1-396-992-0844x069
"403 Mccormick Plaza Apt. 134, West Wesleymouth, MO 24599",9,+1-584-957-2539x06979,393,2009-08-13,meganmoore@example.com,Retired,Stacy,Robinson,7654004272
"USNV Stephenson, FPO AE 78992",10,8869283647,776,2023-06-14,mcgrathcarrie@example.net,Retired,Alexis,Wilson,001-508-862-1125x42826
"2667 Jonathan Run, South Michaelfort, MP 98027",11,880.904.5825x08918,614,1989-05-18,martinmatthew@example.org,Retired,James,Wilson,309-603-3439x67794
"4444 Joseph Inlet, New William, NY 01329",12,588-797-0836,579,2007-12-22,courtney74@example.org,Unemployed,Kevin,Brown,468-991-2713x018
"56977 Ronald Dale, North Briantown, PW 03732",13,523-502-3545,706,2004-02-06,heatherbrown@example.net,Employed,David,Page,+1-686-292-4778x864
"13041 Rodriguez Landing Suite 738, North Charles, RI 33569",14,+1-465-738-0405x03255,663,2012-12-31,kenneth31@example.net,Self-Employed,Susan,Goodwin,+1-794-382-8518
